Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Timmy Allen,Apr 6 '24 MEM vs. PHI,24,1,3,74,5,17,0,6,0,0,1,10,3,2,0,1,12,10,.294,.000,,24.7,3.3,3.3,1.0,0.7,0.0
2,Ibou Badji,Dec 26 '23 POR vs. SAC,21,1,21,216,13,20,0,0,6,12,20,51,13,2,20,14,44,32,.650,,.500,10.3,1.5,2.4,0.6,0.1,1.0
3,Amari Bailey,Nov 12 '23 CHO @ NYK,19,1,8,31,3,12,0,5,1,2,2,2,2,1,0,1,0,7,.250,.000,.500,3.9,0.9,0.3,0.3,0.1,0.0
4,Emoni Bates,Oct 28 '23 CLE vs. IND,20,1,14,103,12,37,9,28,1,4,1,11,7,1,2,2,5,34,.324,.321,.250,7.4,2.4,0.8,0.5,0.1,0.1
5,Jules Bernard,Dec 8 '23 WAS @ BRK,24,1,18,125,24,54,9,25,4,8,8,20,13,2,1,6,14,61,.444,.360,.500,6.9,3.4,1.1,0.7,0.1,0.1
6,Onuralp Bitim,Nov 4 '23 CHI @ DEN,24,1,22,243,30,74,11,38,3,4,6,30,13,3,2,7,21,74,.405,.289,.750,11.0,3.4,1.4,0.6,0.1,0.1
7,Anthony Black,Oct 25 '23 ORL vs. HOU,20,1,68,1159,113,244,36,92,49,80,33,138,91,35,21,55,110,311,.463,.391,.613,17.0,4.6,2.0,1.3,0.5,0.3
8,Leaky Black,Nov 8 '23 CHO vs. WAS,24,1,24,237,19,42,7,16,9,14,8,39,19,5,8,5,16,54,.452,.438,.643,9.9,2.3,1.6,0.8,0.2,0.3
9,Izaiah Brockington,Mar 5 '24 NOP @ TOR,24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,.400,.000,,3.0,4.0,2.0,0.0,0.0,0.0
10,Kobe Brown,Oct 25 '23 LAC vs. POR,24,1,42,337,30,72,12,42,1,2,13,52,19,7,4,8,45,73,.417,.286,.500,8.0,1.7,1.2,0.5,0.2,0.1
11,Kobe Bufkin,Oct 29 '23 ATL @ MIL,20,1,15,179,30,84,9,38,4,8,5,29,27,7,5,9,18,73,.357,.237,.500,11.9,4.9,1.9,1.8,0.5,0.3
12,Toumani Camara,Oct 25 '23 POR @ LAC,23,1,70,1739,197,438,58,172,75,99,139,343,87,66,33,84,174,527,.450,.337,.758,24.8,7.5,4.9,1.2,0.9,0.5
